,lat lon,valid time,DewPointFahrenheit,DominantType,DryBulbFahrenheit,HourlyPrecip,RelativeHumidity,SkyCondition,Visibility,WeatherType,WetBulbFahrenheit,WindDirection,WindGust,WindSpeed,APCP,SNOD,SNOW,day
0,34.0 -93.25,2020-09-30 19:00:00-05:00,60.332,0.000,72.976,0.000,57.800,0.000,34300.000,NA,72.701,217.375,6.389,2.807,0.000,0.000,0.000,20200930
1,44.0 -123.5,2020-09-30 19:00:00-05:00,58.757,0.000,77.476,0.000,53.600,0.000,33800.000,NA,77.041,323.905,2.139,1.725,0.000,0.000,0.000,20200930
2,48.0 -120.0,2020-09-30 19:00:00-05:00,37.495,0.000,65.551,0.000,36.000,0.000,53500.000,NA,65.094,96.850,3.327,1.935,0.000,0.000,0.000,20200930
3,28.0 -114.25,2020-09-30 19:00:00-05:00,70.007,0.000,74.438,0.000,85.500,0.000,15800.000,NA,74.327,326.140,11.327,6.872,0.000,0.000,0.000,20200930
4,34.0 -93.25,2020-09-30 20:00:00-05:00,59.115,0.000,69.152,0.000,63.900,0.000,28100.000,NA,68.951,223.184,6.238,2.795,0.000,0.000,0.000,20200930
5,44.0 -123.5,2020-09-30 20:00:00-05:00,60.578,0.000,74.890,0.000,61.400,0.000,27800.000,NA,74.563,301.808,1.988,1.589,0.000,0.000,0.000,20200930
6,48.0 -120.0,2020-09-30 20:00:00-05:00,37.178,0.000,62.740,0.000,37.200,0.000,52800.000,NA,62.347,69.138,2.925,2.702,0.000,0.000,0.000,20200930
7,28.0 -114.25,2020-09-30 20:00:00-05:00,69.465,0.000,73.990,0.000,85.100,0.000,16100.000,NA,73.877,325.613,8.738,5.710,0.000,0.000,0.000,20200930
8,34.0 -93.25,2020-09-30 21:00:00-05:00,58.631,0.000,65.496,0.000,70.600,0.000,23400.000,NA,65.367,232.223,5.740,2.577,0.000,0.000,0.000,20200930
9,44.0 -123.5,2020-09-30 21:00:00-05:00,60.431,0.000,68.871,0.000,71.700,0.000,21900.000,NA,68.697,272.798,3.178,2.227,0.000,0.000,0.000,20200930
10,48.0 -120.0,2020-09-30 21:00:00-05:00,39.281,0.000,56.158,0.000,40.700,0.000,47800.000,NA,55.922,76.568,2.178,2.082,0.000,0.000,0.000,20200930
11,28.0 -114.25,2020-09-30 21:00:00-05:00,70.443,0.000,73.146,0.000,90.300,0.000,14300.000,NA,73.079,292.188,4.928,2.605,0.000,0.000,0.000,20200930
12,34.0 -93.25,2020-09-30 22:00:00-05:00,58.549,0.000,62.555,0.000,79.000,0.000,18600.000,NA,62.484,291.403,4.344,2.277,0.000,0.000,0.000,20200930
13,44.0 -123.5,2020-09-30 22:00:00-05:00,59.561,0.000,65.480,0.000,78.600,1.875,18400.000,NA,65.366,267.617,4.031,2.560,0.000,0.000,0.000,20200930
